ID,lon,lat
339,17.240505227,40.4704163261
340,17.2407530012,40.4702283503
341,17.2406652896,40.470940064
342,17.2408347211,40.4705007875
343,17.240832419,40.4714868869
344,17.2409238541,40.4712907681
345,17.2409672834,40.4719279104
346,17.2414671533,40.4715423514
347,17.2411401076,40.472493134
348,17.2413384764,40.4731420043
349,17.241818157,40.472670478
350,17.2414760458,40.4710524936
351,17.2415019339,40.4711938576
352,17.2409968979,40.4700217452
353,17.241238437,40.4698186186
354,17.2420460374,40.4734040579
355,17.2410823999,40.4703127524
356,17.2413327015,40.47012195
357,17.2414187742,40.4703982796
358,17.2414090493,40.4693964028
359,17.2410925444,40.4684365945
360,17.2418643575,40.4689191436
361,17.2414088237,40.4677413937
362,17.2415740108,40.4699187345
363,17.2420974846,40.4696700285
364,17.2416691341,40.4702073119
365,17.2418265159,40.4707091032
366,17.2422785703,40.4702472893
367,17.2419920884,40.4712455324
368,17.2422317716,40.4720027796
369,17.2424511105,40.4713718021
370,17.241634783,40.4677334304
371,17.2417007323,40.4675372511
372,17.2417659234,40.4676903739
373,17.2417836048,40.467827953
374,17.2418920787,40.4680818481
375,17.2425513349,40.4666094808
376,17.2419239723,40.4669082351
377,17.2425259234,40.472932442
378,17.2429641754,40.4724684212
379,17.2419957153,40.4678445065
380,17.2419665817,40.4673744762
381,17.2420769941,40.4673486099
382,17.2431936029,40.4731990776
383,17.2421631249,40.4679371703
384,17.2422267688,40.4677871616
385,17.2423156007,40.4684231094
386,17.242498711,40.4679706828
387,17.2421478638,40.4672309462
388,17.2422644645,40.4672305035
389,17.2425509224,40.4691930702
390,17.2428122622,40.4687455489
391,17.2423784689,40.4676350252
392,17.2424422699,40.4677344973
393,17.243007467,40.4714024904
394,17.2429547267,40.4711630359
395,17.242407509,40.4674498231
396,17.242756747,40.4698595292
397,17.243040825,40.4695067016
398,17.242502449,40.4676235592
399,17.2428105599,40.4667032799
400,17.2428438451,40.4667988826
401,17.2429869552,40.4706166276
402,17.2432183879,40.4700823181
403,17.2427159159,40.4676884474
404,17.2433270678,40.4710954737
405,17.2433711196,40.4718892161
406,17.2434166253,40.4713347496
407,17.2430367996,40.4681668556
408,17.2431963494,40.4675993467
409,17.243631293,40.472735342
410,17.2442133969,40.4722496298
411,17.2440327041,40.4711039719
412,17.2439046312,40.4736147088
413,17.2442176003,40.4730139395
414,17.2432999506,40.4690596071
415,17.2435050834,40.4686187036
416,17.2435029291,40.4697294469
417,17.2437370611,40.4693862638
418,17.2439154656,40.4699599317
419,17.2436360939,40.4665669046
420,17.2433623067,40.4670720726
421,17.2434774627,40.4663895837
422,17.2436648962,40.4680511435
423,17.2439106612,40.4674668085
424,17.243941996,40.4689453923
425,17.2442223145,40.4684873388
426,17.2436468261,40.4661527247
427,17.2441496376,40.4696167424
428,17.2444607003,40.4692610748
429,17.2438263173,40.4662408689
430,17.2439546633,40.4659268577
431,17.2444047286,40.4704577846
432,17.2446346005,40.4698336449
433,17.2448193885,40.4737082952
434,17.24498966,40.4740657743
435,17.2448998711,40.4729122636
436,17.2448099326,40.4733243103
437,17.2439691581,40.4663881189
438,17.2441633159,40.4660165271
439,17.245123724,40.4736747266
440,17.2447405362,40.4715700046
441,17.2449707353,40.4709420223
442,17.244400433,40.4664507567
443,17.2441776807,40.466945497
444,17.2450202279,40.472498496
445,17.2453077033,40.472057958
446,17.2444680507,40.4679030097
447,17.2446787364,40.467324391
448,17.2451318882,40.4730120522
449,17.2455154071,40.4727909275
450,17.2476025982,40.4727628311
451,17.2452462312,40.473400364
452,17.2447410497,40.4688030047
453,17.2449903282,40.4683466548
454,17.2443205608,40.4657059138
455,17.2454034913,40.473801938
456,17.2443587407,40.4656418469
457,17.2447165849,40.4652675894
458,17.2445433089,40.4656105298
459,17.2444758646,40.4656920212
460,17.2449457888,40.4694779573
461,17.2452278062,40.4691283084
462,17.2452002518,40.4703168592
463,17.2454003019,40.4696992403
464,17.2446753535,40.4660443927
465,17.2449114975,40.4668202965
466,17.245102584,40.4663268215
467,17.2455375105,40.4714289738
468,17.2457357143,40.4708032136
469,17.2452009979,40.4677679965
470,17.2453619064,40.4671976441
471,17.2458186279,40.4723557351
472,17.2460760437,40.4719234302
473,17.246299465,40.472659512
474,17.2454771451,40.4686719584
475,17.245680273,40.4682203241
476,17.245268579,40.4650499723
477,17.2451320823,40.464798354
478,17.2456823385,40.4693495916
479,17.2459211984,40.4690083606
480,17.2459358259,40.4701858416
481,17.2464172871,40.4695206943
482,17.2455527983,40.4667042014
483,17.2452651142,40.4657157405
484,17.2457468359,40.4662131209
485,17.2457116082,40.4641942786
486,17.2456535379,40.4645277767
487,17.2462742828,40.4712979095
488,17.2467533028,40.470620173
489,17.2458409981,40.4676500015
490,17.2460057536,40.4670781946
491,17.2456898047,40.4652896917
492,17.2457463466,40.4649472517
493,17.2465094447,40.4720706141
494,17.2470943683,40.4717450858
495,17.2461245971,40.4685566566
496,17.2463260778,40.4681020548
497,17.2466215866,40.4724388589
498,17.247226975,40.4721669743
499,17.2473225857,40.4724818894
500,17.246573355,40.4688954891
501,17.245874967,40.4655232107
502,17.2461633187,40.4652155691
503,17.2459869121,40.465895307
504,17.2463831788,40.4655551726
505,17.2461995993,40.4665871488
506,17.2465411078,40.466073
507,17.2461982016,40.4648262527
508,17.248232497,40.4757450001
509,17.2479033515,40.4748162836
510,17.2464905479,40.4675302993
511,17.2468037094,40.4669301906
512,17.2467752728,40.4684408035
513,17.2471208991,40.4679565248
514,17.2465357922,40.464056519
515,17.2471151372,40.4627469817
516,17.2469837497,40.4691227504
517,17.2473693465,40.4687577862
518,17.2464618928,40.4648977894
519,17.2472345948,40.4699550461
520,17.2475359401,40.469324319
521,17.2466879375,40.4650447038
522,17.2467760755,40.4645917989
523,17.2475731784,40.4710673611
524,17.2478714698,40.470419064
525,17.2468339863,40.4653719759
526,17.2472418018,40.4651896297
527,17.2469369772,40.4657332418
528,17.2471451484,40.4664160483
529,17.2474547726,40.4659117736
530,17.2478117066,40.4718413723
531,17.2482158465,40.4715486446
532,17.2479282372,40.4722098504
533,17.2484430164,40.4722872892
534,17.2474339594,40.4673564143
535,17.2477078214,40.4667624601
536,17.247507136,40.4646301676
537,17.2472247999,40.4641963387
538,17.2477153186,40.4682734136
539,17.2480231935,40.4677912821
540,17.2479216923,40.4689593051
541,17.2482804049,40.4686001035
542,17.2481724849,40.4697884807
543,17.247535685,40.4641480238
544,17.2482905662,40.4633759384
545,17.2485152675,40.470900231
546,17.2488007488,40.4702544652
547,17.2500627035,40.4757703077
548,17.2490478494,40.4752926677
549,17.2477861011,40.4654735054
550,17.24801735,40.4662581996
551,17.2481855318,40.4657828155
552,17.2491349395,40.4748306029
553,17.2483448221,40.4642826739
554,17.2477580549,40.4646089921
555,17.2481497841,40.4651296999
556,17.2478938726,40.4651863775
557,17.2487987721,40.4718361027
558,17.2491313702,40.4713881465
559,17.2479713441,40.465566125
560,17.2480594367,40.4652383463
561,17.2482974508,40.4671972386
562,17.2484280257,40.4666288527
563,17.2501752064,40.4748467241
564,17.2492234481,40.4744528137
565,17.2493423571,40.4721311693
566,17.2511056856,40.4741111197
567,17.2492382649,40.4738105037
568,17.2485805047,40.4681299408
569,17.248745988,40.4676589001
570,17.2482469273,40.4654994995
571,17.2484053239,40.4656122779
572,17.2484385057,40.4654579247
573,17.249015918,40.4685046604
574,17.2489841777,40.4693581089
575,17.2485960437,40.4661534805
576,17.2492958055,40.4655852353
577,17.2485472004,40.4621150806
578,17.248194416,40.4616355954
579,17.2495476974,40.4647733632
580,17.2488770402,40.4670904231
581,17.2490945057,40.4665052073
582,17.2494027363,40.470730914
583,17.2496502104,40.4701258198
584,17.2491742373,40.4680310961
585,17.2494096937,40.4675373805
586,17.249658915,40.4716743236
587,17.2500094758,40.4712002726
588,17.2491624626,40.460829867
589,17.2491003976,40.4615334242
590,17.2493576116,40.4686319088
591,17.2496687792,40.4683838471
592,17.2506390798,40.4716888946
593,17.2492176117,40.4638871412
594,17.2494241274,40.4662279533
595,17.2496272056,40.4669521381
596,17.249919534,40.4663521672
597,17.2502646643,40.4700347765
598,17.2502147059,40.4703968559
599,17.2492317166,40.4626423296
600,17.2493982967,40.4622202382
601,17.2499088635,40.4679010811
602,17.2502302832,40.4673870987
603,17.2504173277,40.4707569229
604,17.2503228401,40.4708608444
605,17.249492711,40.463368317
606,17.2497922112,40.4627807625
607,17.25042258,40.4710357331
608,17.2505090692,40.470886176
609,17.2501167502,40.4684721347
610,17.2504841074,40.4682521652
611,17.2519811071,40.4757968353
612,17.2511052898,40.4753251523
613,17.2513218326,40.4704537105
614,17.2497842618,40.4642993547
615,17.2501018076,40.4638098943
616,17.2505127214,40.4700853465
617,17.2508067312,40.46991093
618,17.2518612217,40.4750552778
619,17.2500154167,40.4650779636
620,17.2503617893,40.4646397812
621,17.2502413847,40.4658541088
622,17.2505656573,40.4653608891
623,17.2500406117,40.4623284124
624,17.2501771116,40.4616753877
625,17.2505222598,40.4667871687
626,17.2508105133,40.4661869085
627,17.2508068561,40.4677377598
628,17.2511170363,40.4672246357
629,17.2510640082,40.4697226585
630,17.2515782624,40.4697785889
631,17.2513682981,40.468098759
632,17.2504058783,40.463224272
633,17.2505320915,40.4626685563
634,17.2498915699,40.4608578694
635,17.2501126997,40.4600605319
636,17.2506792674,40.4641497446
637,17.2508335872,40.4636859816
638,17.2509119879,40.4649221938
639,17.2510889712,40.4645033988
640,17.2505102209,40.4604971427
641,17.2503870902,40.4598287789
642,17.2514257251,40.4708272922
643,17.2518618003,40.4705905185
644,17.2511355868,40.4656936093
645,17.2513088437,40.4652314195
646,17.2507352092,40.4624101492
647,17.2509768928,40.4616576124
648,17.2508970979,40.4611672979
649,17.2514050469,40.4666244432
650,17.2515518703,40.4660494278
651,17.2509217245,40.4629861453
652,17.2510853031,40.4625761659
653,17.2513072006,40.4601300913
654,17.2506511913,40.4595747161
655,17.2510743266,40.4634911951
656,17.2513092239,40.4632977739
657,17.2527528489,40.47487673
658,17.2516933533,40.4675765229
659,17.2518638424,40.4670878743
660,17.2512427153,40.4640391733
661,17.2513953858,40.4635864599
662,17.2505358485,40.4579195146
663,17.2522929328,40.4707865073
664,17.2521089253,40.4704732199
665,17.252073473,40.4696900061
666,17.2519663835,40.4696059817
667,17.2518918715,40.4683739624
668,17.2521058135,40.4679381848
669,17.2507806093,40.4583501539
670,17.2521145837,40.4695879661
671,17.2520389904,40.4694393141
672,17.2524169908,40.4703511211
673,17.2520724471,40.4703049645
674,17.2514860328,40.4648121088
675,17.2516519747,40.4643870257
676,17.2522745844,40.469915145
677,17.2525312793,40.4700532127
678,17.2512285471,40.4588585533
679,17.2512997822,40.4593260453
